date,supplier,hotel,product,qty,oldSupplyPrice,newSupplyPrice,diff,tutedPrice,priceListDate,marginRate
2026-07-27,ERTAŞLAR,MİRAMOR GARDEN,KABAK SAKIZ,20,23.4,21.6,-1.8,120,2026-07-27,0.18
2026-07-27,ERTAŞLAR,MİRAMOR GARDEN,BİBER DOLMA,26,57.6,55.8,-1.8,310,2026-07-27,0.18
2026-07-27,ERTAŞLAR,MİRAMOR GARDEN,BİBER KAPYA,53,64.8,61.2,-3.6,340,2026-07-27,0.18
2026-07-27,ERTAŞLAR,MİRAMOR GARDEN,PATATES,126,37.8,36,-1.8,200,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,BİBER KAPYA,33,64.8,61.2,-3.6,340,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,BİBER ÇARLİSTON,15,88.2,86.4,-1.8,480,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,KABAK SAKIZ,31,23.4,21.6,-1.8,120,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,HAVUÇ,20,28.8,27,-1.8,150,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,LAHANA KIRMIZI,25,30.6,28.8,-1.8,160,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,PATLICAN,57,34.2,32.4,-1.8,180,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,LAHANA,37,27,28.8,1.8,160,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,PATATES,42,37.8,36,-1.8,200,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,DOMATES,320,33.3,36.9,3.6,205,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,DOMATES,216,33.3,36.9,3.6,205,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,HAVUÇ,40,28.8,27,-1.8,150,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,LAHANA BEYAZ,9,27,25.2,-1.8,140,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,LAHANA KIRMIZI,15,30.6,28.8,-1.8,160,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,PIRASA,9,41.4,39.6,-1.8,220,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,PATATES,41,37.8,36,-1.8,200,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,BİBER SİVRİ,13,88.2,81,-7.2,450,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,BİBER ÇARLİSTON,23,88.2,86.4,-1.8,480,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,BİBER DOLMA,13,57.6,55.8,-1.8,310,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,PATLICAN,60,34.2,32.4,-1.8,180,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,BİBER KAPYA,39,64.8,61.2,-3.6,340,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,KABAK SAKIZ,78,23.4,21.6,-1.8,120,2026-07-27,0.18
2026-07-27,ERTAŞLAR,STELLA,LİMON,20,63,61.2,-1.8,340,2026-07-27,0.18
2026-08-04,MSD07 TAR ÜR,CASAFORA,PATATES,160,48.4,44,-4.4,200,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,SEAPHORİA,PATATES,82,48.4,44,-4.4,200,2026-08-04,0.22
